样本索引,基线值,Conju-Max-Distance_SHAP,Wavelength_SHAP,ET(30)_SHAP,PEOE-Charge_SHAP,Atomic-LogP_SHAP,Atomic-MR_SHAP,rg_SHAP,SHAP总和,重建预测值,模型预测值,误差
129,5.997935,0.9052675,-0.029363323,0.11761292,0.050364505,0.22755922,0.56725836,0.36264914,2.2013483,8.199284,8.199283,9.536743e-07
130,5.997935,0.16508226,-0.03743548,0.021687033,0.08649639,0.21699968,-0.0779034,0.47049698,0.84542346,6.843358,6.8433585,4.7683716e-07
131,5.997935,-0.07220277,-0.23165381,0.02237032,-0.80152255,0.10259806,0.065830044,-0.07417242,-0.9887531,5.009182,5.0091786,3.33786e-06
132,5.997935,-0.060089722,-0.1478601,0.043883953,-0.18824175,0.24921934,-0.007963171,-0.00215759,-0.11320904,5.8847256,5.8847213,4.2915344e-06
133,5.997935,0.17475457,-0.17552203,0.048257012,0.32034734,0.23970017,0.23906536,0.29511562,1.141718,7.1396527,7.1396537,9.536743e-07
134,5.997935,-0.06862673,-0.2832103,-0.09148921,-0.36954218,0.16490036,-0.2614781,-0.3330514,-1.2424976,4.7554374,4.755433,4.2915344e-06
135,5.997935,0.5411354,-0.19732009,0.0013251703,-0.23291175,0.17014517,0.31823364,0.22606778,0.8266753,6.82461,6.824608,2.3841858e-06
136,5.997935,0.9038825,-0.17281638,0.028077576,0.014921319,0.21807547,-0.10025388,0.15170348,1.0435901,7.041525,7.0415287,3.8146973e-06
137,5.997935,0.9349441,-0.14124325,0.068780795,0.22553243,0.25244594,0.23329134,0.14095628,1.7147076,7.7126427,7.7126446,1.9073486e-06
138,5.997935,0.8895579,0.04075744,0.109292395,0.0860079,0.21568842,0.6018782,0.37480852,2.317991,8.315926,8.315926,0.0
139,5.997935,0.9230085,-0.16752414,0.06668122,0.036350597,0.27219328,0.022548687,0.3558585,1.5091166,7.5070515,7.5070567,5.2452087e-06
140,5.997935,1.2856102,-0.124291524,0.06327716,0.19384238,0.20918556,0.08802288,0.4216849,2.1373315,8.135266,8.135262,4.7683716e-06
141,5.997935,0.9425129,-0.098128565,-0.034176067,0.04749197,-0.587708,-0.075187825,0.28725767,0.48206213,6.479997,6.4799995,2.3841858e-06
142,5.997935,-0.15406598,-0.38600674,-0.06778722,-0.043872245,-0.9877511,-0.408297,0.180916,-1.8668643,4.1310706,4.1310687,1.9073486e-06
143,5.997935,-0.12988335,-0.38157442,-0.0367559,-0.036783736,-0.9331326,-0.30783096,0.1582567,-1.6677043,4.3302307,4.3302326,1.9073486e-06
144,5.997935,1.299339,-0.2825582,0.056882385,0.19872805,-0.7063857,0.10374628,0.14506398,0.81481594,6.812751,6.812752,9.536743e-07
145,5.997935,-0.57615674,0.033324324,0.09069152,0.059276424,-0.07932606,0.5599633,-0.23461768,-0.14684495,5.85109,5.8510885,1.4305115e-06
146,5.997935,0.11732914,0.026234565,0.22292122,0.2898894,-0.050961513,0.7968454,0.31826812,1.7205262,7.718461,7.718461,0.0
147,5.997935,0.09205317,0.031756178,0.22980991,0.123686194,-0.048117347,0.7005916,-0.0652476,1.064532,7.0624666,7.062466,4.7683716e-07
